"","AlignID","Factor","tmean","FoundIn","4_Blanco","15_QC1_4","21_Qc2_2","28_Qc3_3","34_Qc1_2","41_Qc2_4","44_Qc2_5","45_Qc3_2","7_Qc1_5","8_Qc2_3","10_RIG003_1","11_Sample_FIED001_2","12_Sample_RGY001_3","13_Sample_RIG003_3","14_Sample_RYTA006_2","16_Sample_RYMG001_3","17_Sample_RGY001_1","18_Sample_FIED001_1","19_Sample_RYMG001_2","20_Sample_ER001_1","22_Sample_ATA001_2","23_RIG003_2","25_Sample_RYTA006_3","26_Sample_RYTA006_1","27_Sample_RIG005_3","29_Sample_RGB004_1","30_Sample_RGB004_3","31_Sample_FIED001_3","32_Sample_ATA001_3","33_Sample_ATA001_1","35_Sample_RGY001_2","36_Sample_RGB004_2","37_Sample_RIG005_1","38_Sample_ER001_2","40_Sample_RYMG001_1","42_Sample_RIG005_2","43_Sample_ER001_3"
"1",3,"Factor #3",3.5474,37,64.56876,1845.132,30.65379,55.90899,55612.34,64754.58,5853.337,3818,12968,64146.43,388.2812,25820.67,52765.63,2645.295,10438.35,2858.394,2464.795,5683.897,3272.321,2913,17227.95,14781.83,1657,1109.993,2806,11234.84,1167.659,21200.97,12787.52,50545.08,1288.271,2070.071,44706.64,64.76795,599.1313,1388.139,628.2182
"2",1,"Factor #1",3.5482,37,64.56876,1845,30.59694,55.86771,55612,64755,1321.059,63397,10172,64146,388.2812,25821,53464,2645,1426,2858,2465,5684,3272,2913,17228,14782,3063,886,13349,12819,868,21201,12788,50545,1287,2070,44707,64.76795,529,1388,628
"3",2,"Factor #2",3.6214,37,67.39403,611,73297,60740,4875.347,1918,17650,1406,724,24180.66,223.238,866,2247,566.5221,2265.871,721,1451.106,3636.03,2863.784,1819.058,1470,3179.334,445.1943,519,1994,780,485.225,1301,2605.192,48031.44,629.9941,208.9665,28732,45997,337.5146,188.7568,364.0197
"4",4,"Factor #4",3.6234,37,67.39403,545,6869.461,7161.174,1396.704,2246,2107,854,960.2617,44828.64,223.238,1135.272,1270.806,1046.848,1529.562,721.3613,873.6662,2671.782,1542.836,1046.529,668,991.826,641.4108,165.3233,990,1115.976,485.225,1196,953.5407,3104.246,542.1809,337.649,683,25052.75,337.5146,442.437,364.0197
"5",6,"Factor #6",3.7316,37,1166.627,220.6165,207.3907,126.4958,239.6606,223.0517,156.1385,214.9466,183.3328,132.3689,37.30714,338.1898,409.8586,111.9517,161.2416,164.2167,334.1954,264.52,162.9312,153.3103,115.1242,117.1084,128.2458,142.2451,238.1297,674,737,499,173.4263,106.6205,365.5694,654,282.1438,109.2662,64.39487,300.1932,67.92659
"8",8,"Factor #8",3.763,37,46.5848,281.8802,472.7463,412.1138,146.4859,366.2985,456.9074,269.2223,223.3502,625.634,104.381,39.0401,154.8548,98.30115,2405.016,35.43451,130.3208,45.99587,43.43198,923,1589,116.8127,2546.354,3195.878,97.02832,95.72898,97.17154,28.63069,1756,1951,106.2341,54.36849,63.26655,1422.72,67.84302,65.3436,1307
"9",7,"Factor #7",3.7682,37,54.41261,297.6121,484.245,418.2478,162.5619,366.2985,434,308.951,274.4898,626,101.7293,42.6124,209.8103,106.7383,2405,67.79715,197.5234,52.08459,50.21623,982,1576,117.393,2540,3196,101.158,103.3938,106.0781,49.13054,1756,1951,137.3541,60.56583,68.51908,1423,66.6753,71.50986,1290
"10",10,"Factor #10",3.7719,37,53.43244,189.837,280.3533,204.765,87.72128,157.2566,140.4777,136.943,148.1696,393.0211,45.45031,88.7133,578,42.24366,1392.837,43.55548,497,111.5575,84.54024,571.6345,820.5583,26.74838,1323.873,1696.105,99.90782,160.6204,149.813,79.96297,953.8178,1064,512,137.4028,101.1784,844.4206,30.79623,30.25256,783.8887
"12",17,"Factor #17",4.1888,37,17.46446,4.654295,871,1035.265,647,994,3.699449,943,4.604264,943,122.4997,16.85227,71.1132,31.87354,35.56625,40.97551,46.15051,29.8511,45.61744,35.94473,47.38141,25.42936,43.14429,22.75245,15.9642,4.495519,3.26905,3.838484,16.38062,117.679,326.1829,2752.366,289.7352,149.1862,74.36885,5.004251,48.42599
"13",14,"Factor #14",4.2422,37,43.13407,289.1852,104.1512,93.99488,1184.999,54.86811,30.84522,725.115,416.223,108.0789,1534,1047.488,1726.364,821.6773,147.8572,37.47768,819,50.31842,14.4353,33.41881,25.27539,434.1314,405.709,125.3781,25.25315,109.1022,105.8509,493.1682,151.9636,37.00841,5196,725.1657,32.45286,25.18274,223.8819,91.67627,49.76046
