row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,26_Sample_RYTA006_1.mzML Peak height,19_Sample_RYMG001_2.mzML Peak height,38_Sample_ER001_2.mzML Peak height,43_Sample_ER001_3.mzML Peak height,30_Sample_RGB004_3.mzML Peak height,33_Sample_ATA001_1.mzML Peak height,31_Sample_FIED001_3.mzML Peak height,32_Sample_ATA001_3.mzML Peak height,22_Sample_ATA001_2.mzML Peak height,40_Sample_RYMG001_1.mzML Peak height,27_Sample_RIG005_3.mzML Peak height,28_Qc3_3.mzML Peak height,37_Sample_RIG005_1.mzML Peak height,4_Blanco.mzML Peak height,20_Sample_ER001_1.mzML Peak height,34_Qc1_2.mzML Peak height,42_Sample_RIG005_2.mzML Peak height,25_Sample_RYTA006_3.mzML Peak height,29_Sample_RGB004_1.mzML Peak height,35_Sample_RGY001_2.mzML Peak height,23_RIG003_2.mzML Peak height,16_Sample_RYMG001_3.mzML Peak height,11_Sample_FIED001_2.mzML Peak height,15_QC1_4.mzML Peak height,36_Sample_RGB004_2.mzML Peak height,18_Sample_FIED001_1.mzML Peak height,44_Qc2_5.mzML Peak height,21_Qc2_2.mzML Peak height,14_Sample_RYTA006_2.mzML Peak height,12_Sample_RGY001_3.mzML Peak height,45_Qc3_2.mzML Peak height,13_Sample_RIG003_3.mzML Peak height,8_Qc2_3.mzML Peak height,7_Qc1_5.mzML Peak height,17_Sample_RGY001_1.mzML Peak height,10_RIG003_1.mzML Peak height,41_Qc2_4.mzML Peak height,
1,47.0,3.525,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,60.01220596438716,3.5278263,,,,,,,,,,,0,934.0,1122.0,0,0,0,1356.0,788.0,638.0,0,838.0,1700.0,0,406.0,636.0,1649.0,0,839.0,0,3295.0,711.0,718.0,969.0,874.0,0,0,0,1682.0,740.0,0,1826.0,753.0,0,889.0,2726.0,0,1996.0,
3,91.00578149571041,3.53,,,,,,,,,,,0,0,0,0,0,0,0,183.0,233.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,32.00156466764308,3.5347059,,,,,,,,,,,2129.0,1890.0,2604.0,2564.0,2265.0,2300.0,2140.0,2135.0,0,2767.0,2170.0,2290.0,2345.0,1958.0,1906.0,2374.0,2620.0,2146.0,0,2343.0,1930.0,1991.0,2033.0,1918.0,2382.0,1999.0,0,2122.0,2050.0,2183.0,2582.0,2026.0,1999.0,1934.0,1982.0,2126.0,2794.0,
5,55.025040444211946,3.5364287,,,,,,,,,,,0,1078.0,0,0,0,547.0,1266.0,0,513.0,0,0,0,1417.0,0,226.0,929.0,0,0,1504.0,0,0,0,0,0,0,1528.0,0,0,0,2319.0,1357.0,0,938.0,345.0,0,0,1401.0,
6,77.02613915645755,3.536563,,,,,,,,,,,1313.0,3341.0,0,750.0,1387.0,50594.0,21249.0,13102.0,17272.0,747.0,15110.0,0,51356.0,0,3033.0,55678.0,1603.0,3450.0,12866.0,1545.0,16782.0,3226.0,25863.0,2151.0,2467.0,5746.0,0,0,10820.0,53543.0,63470.0,3039.0,64225.0,14447.0,2806.0,535.0,64836.0,
7,57.02843601483593,3.5368962,,,,,,,,,,,226.0,2217.0,0,199.0,314.0,598.0,1940.0,305.0,725.0,0,1166.0,0,2185.0,215.0,303.0,1457.0,254.0,313.0,2046.0,327.0,420.0,262.0,0,199.0,476.0,2496.0,2213.0,0,247.0,4041.0,2011.0,0,1355.0,387.0,0,0,2230.0,
8,74.04383414188233,3.5373683,,,,,,,,,,,0,4761.0,0,0,0,1391.0,4545.0,393.0,1378.0,0,2015.0,0,5296.0,161.0,0,3034.0,0,0,4701.0,0,873.0,0,856.0,0,0,5693.0,5758.0,0,0,9485.0,4858.0,0,2730.0,576.0,0,0,5252.0,
9,43.00819357899968,3.54,,,,,,,,,,,927.0,2490.0,0,0,0,2580.0,4463.0,1276.0,1806.0,1612.0,0,0,5636.0,0,1022.0,3058.0,0,1086.0,5553.0,3255.0,1743.0,0,0,0,0,5820.0,4903.0,0,1230.0,8313.0,3705.0,0,5246.0,1719.0,2279.0,1062.0,6286.0,
10,45.000197136962136,3.5447998,,,,,,,,,,,0,5097.0,0,0,0,7551.0,4998.0,2684.0,3177.0,1548.0,3431.0,0,9644.0,561.0,1458.0,9468.0,0,1554.0,6297.0,2982.0,3233.0,0,5430.0,0,0,5617.0,0,0,2809.0,13422.0,10652.0,0,11070.0,3964.0,3500.0,1034.0,11255.0,
